operator_name,bert,vgg19
stack,0.11273,0.80539
detach_,0.11777,0.12788
to,0.13493,0.2164
torch::autograd::GraphRoot,0.16595,0.36582
item,0.18779,0.40722
is_nonzero,0.19512,0.15447
size,0.20065,0.66344
is_complex,0.23113,0.3024
unsqueeze,0.32796,0.19018
LogSoftmaxBackward,0.34557,3.05597
NllLossBackward,0.3746,15.8917
ones_like,0.39264,1.88858
empty,0.39655,0.29302
slice,0.55676,0.20832
random_,0.559,0.86031
view,0.69992,0.43302
is_floating_point,0.70556,1.3352
permute,0.74817,0.318
log_softmax,0.83873,8.48045
TBackward,0.97145,0.6349
nll_loss,0.99835,1.18125
AddmmBackward,1.28034,14.09712
t,1.44207,1.96504
addcmul_,1.83604,5.31851
ViewBackward,2.08807,2.15072
addmm,2.65457,14.89845
zeros_like,2.70456,11.11642
zero_,2.97208,9.34678
sqrt,3.51652,13.02036
add_,4.07999,5.85405
addcdiv_,4.38275,6.92068
mul_,4.90503,9.88045
torch::autograd::AccumulateGrad,5.96796,15.56467
div,6.14283,4.2485
dropout,9.05565,7.04324
contiguous,9.26408,0.74124
