operator_name,speedup_ratio
BiasAddGrad,0.603338
DivNoNan,0.875093
DivNoNan,0.993549
Equal,1.08295
Pow,1.1464
Cast,1.308
Tile,1.3549
Cast,1.40941
Pow,1.43723
AssignAddVariableOp,1.59998
Sum,1.62
AssignAddVariableOp,1.73795
AssignAddVariableOp,1.8268099999999998
Cast,1.90957
Sum,1.9963400000000002
AddV2,2.16071
Cast,2.1619099999999998
ArgMax,2.25486
Softmax,2.39436
GreaterEqual,2.5110799999999998
Mul,2.58995
BiasAddGrad,2.8422
SparseSoftmaxCrossEntropyWithLogits,2.8733400000000002
ResourceApplyAdam,8.73917
ResourceApplyAdam,18.5812
ReluGrad,19.5282
MatMul,33.5818
ResourceApplyAdam,34.058
